month,from,to,distance_km,start_time,end_time
1,Vienna,Vienna,3.77,2024-01-31T13:11:30.814Z,2024-01-31T13:25:46.817Z
1,Vienna,Vienna,3.11,2024-01-31T13:59:18.697Z,2024-01-31T14:20:14.828Z
1,Vienna,Vienna,0.28,2024-01-31T14:20:14.828Z,2024-01-31T15:39:45.701Z
1,Vienna,Vienna,5.64,2024-01-31T15:39:45.701Z,2024-01-31T15:56:01.703Z
1,Vienna,Weppersdorf,66.61,2024-01-31T17:29:18.005Z,2024-01-31T19:04:54.783Z
2,Weppersdorf,Weppersdorf,0.05,2024-02-01T07:43:05.305Z,2024-02-01T08:17:19.173Z
2,Weppersdorf,Mattersburg,18.07,2024-02-01T11:57:13.144Z,2024-02-01T12:13:17.452Z
2,Mattersburg,Mattersburg,1.92,2024-02-01T13:14:58.611Z,2024-02-01T13:25:03.206Z
2,Mattersburg,Weppersdorf,16.22,2024-02-01T13:35:08.593Z,2024-02-01T14:01:15.783Z
2,Weppersdorf,Horitschon,9.23,2024-02-02T08:34:41.906Z,2024-02-02T08:46:46.844Z
2,Horitschon,Weppersdorf,9.24,2024-02-02T09:38:40.464Z,2024-02-02T09:48:43.476Z
2,Weppersdorf,Tattendorf,42.46,2024-02-04T11:10:01.786Z,2024-02-04T11:49:01.325Z
2,Tattendorf,Weppersdorf,42.43,2024-02-04T13:31:14.894Z,2024-02-04T14:11:24.053Z
2,Weppersdorf,Kaisersdorf,5.89,2024-02-05T11:04:46.507Z,2024-02-05T11:14:49.189Z
2,Kaisersdorf,Weppersdorf,4.82,2024-02-05T11:30:09.074Z,2024-02-05T11:40:44.052Z
2,Weppersdorf,Weppersdorf,1.4,2024-02-05T11:57:22.939Z,2024-02-05T12:01:25.998Z
2,Weppersdorf,Landsee,6.13,2024-02-05T12:58:44.005Z,2024-02-05T13:29:58.890Z
2,Landsee,Weppersdorf,6.51,2024-02-05T13:52:04.978Z,2024-02-05T14:10:14.248Z
2,Weppersdorf,Kaisersdorf,5.92,2024-02-06T11:08:43.245Z,2024-02-06T11:17:56.890Z
2,Kaisersdorf,Zemendorf-Stöttera,25.21,2024-02-06T11:25:33.140Z,2024-02-08T07:55:29Z
